City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
295,Bafra,TR,68.38,clear sky,41.5678,35.9069,Sevgi Otel
299,Khawhai,IN,62.38,broken clouds,23.3667,93.1167,Homestay Khawhai
302,Eregli,TR,71.26,clear sky,37.5133,34.0467,Hotel Fuat Bey
306,Howard Springs,AU,64.31,overcast clouds,-12.497,131.047,buffalo beach hostel
312,Pisco,PE,68.05,dust,-13.7,-76.2167,Hotel San Isidro Oficial
316,Kholodnyy,RU,65.57,scattered clouds,62.7167,147.95,
317,Mago,RU,66.4,broken clouds,53.2514,140.1822,
319,Bulolo,PG,65.3,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
327,Port Hardy,CA,71.78,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
330,Malinovskiy,RU,65.28,few clouds,61.1953,62.8397,
331,Nikolayevsk-Na-Amure,RU,65.8,overcast clouds,53.1406,140.73,Mini-hotel «Quiet Harbor»
332,Starobesheve,UA,65.93,few clouds,47.7504,38.0305,
338,Xining,CN,62.15,overcast clouds,36.6167,101.7667,Super Leisure Hotel
342,Sosnovka,RU,68.36,broken clouds,56.255,51.2842,
343,Ucluelet,CA,66.09,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
344,Gomel,BY,60.84,moderate rain,52.4345,30.9754,Turyst
360,Oulainen,FI,63.81,overcast clouds,64.2667,24.8,Hotelli Ravintola Kasari
361,Sinegorye,RU,70.74,clear sky,62.0788,150.477,
363,Xiaoweizhai,CN,74.05,overcast clouds,26.1903,107.5125,Karst Youth Hostel
364,Zhezkazgan,KZ,72.32,few clouds,47.8043,67.7144,Hotel Zumrat
369,Tranas,SE,60.39,overcast clouds,58.0372,14.9782,Badhotellet Spa & Konferens Hotel
370,Zherdevka,RU,73.63,overcast clouds,51.8486,41.4606,Юнона
372,Senno,RU,73.26,overcast clouds,59.5336,33.9167,
376,Cidreira,BR,72.64,scattered clouds,-30.1811,-50.2056,Hotel Castelo
382,Chifeng,CN,72.88,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
383,Tabuk,PH,74.79,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
392,Kenora,CA,60.78,overcast clouds,49.8167,-94.4337,Maynard Lake Lodge
396,Emirdag,TR,65.82,clear sky,39.0197,31.15,Emirdağ Öğretmenevi
401,Oktyabrskiy,RU,68.45,clear sky,54.4815,53.471,Гостиница Октябрьская
407,Dali,CN,63.81,scattered clouds,25.7,100.1833,Dali Travelling With Hostel
410,Kenai,US,66.02,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
412,Atikokan,CA,66.16,overcast clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
415,Soyo,AO,70.43,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
421,Shingu,JP,74.32,overcast clouds,33.7333,135.9833,Shingu UI Hotel
425,Leshukonskoye,RU,72.52,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
426,Mocuba,MZ,66.0,light rain,-16.8392,36.9856,Phama Lodge
427,Saint-Augustin,CA,62.89,overcast clouds,51.226,-58.6502,
431,Znin,PL,61.34,light rain,52.8496,17.7199,Gosciniec Krys
433,Varkaus,FI,61.95,overcast clouds,62.3153,27.873,Hotel Oscar
434,Devarkonda,IN,74.41,moderate rain,16.7,78.9333,సంతోష్ టిఫిన్ సెంటర్
452,Surgut,RU,60.98,clear sky,61.25,73.4167,Business Hotel
455,Malakal,SS,74.57,overcast clouds,9.5334,31.6605,Nile Palace Hotel
463,Belyy Yar,RU,62.85,clear sky,53.6039,91.3903,Pasportnyy Stol
464,Hwange,ZW,63.37,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
470,Ponta Delgada,PT,70.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
471,Tambura,SS,70.23,light rain,5.6,27.4667,Rikito Lodge
475,Timra,SE,66.67,overcast clouds,62.487,17.3257,Bergefors park
476,Poum,NC,73.0,clear sky,-20.2333,164.0167,
477,Kisangani,CD,73.63,light rain,0.5167,25.2,Grand Ramela Hotel
478,Paita,PE,70.05,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
480,Vallenar,CL,62.42,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
484,Rio Grande,BR,62.71,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
485,Chuguyevka,RU,62.73,scattered clouds,44.1653,133.8633,Svet V Okne
486,Belaya Gora,RU,60.91,overcast clouds,68.5333,146.4167,
491,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
492,La Ronge,CA,69.96,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
495,Vangaindrano,MG,64.04,clear sky,-23.35,47.6,Hotel Fanilo
498,Kalisz,PL,61.84,scattered clouds,51.7611,18.091,Hotel Europa
499,Nanae,JP,69.19,light rain,41.8833,140.6833,とみや旅館
501,Nizhnyaya Tavda,RU,63.46,broken clouds,57.6731,66.1725,Dom
502,Karpathos,GR,73.36,clear sky,35.507,27.2132,Alex
506,Garissa,KE,74.73,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
508,Alyangula,AU,64.74,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
514,Sayyan,YE,64.54,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
516,Comrat,MD,62.64,few clouds,46.3003,28.6572,Caral
517,Ereymentau,KZ,72.12,overcast clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
522,Shar,KZ,69.89,scattered clouds,49.5886,81.0453,
524,Karratha,AU,65.57,clear sky,-20.7377,116.8463,ibis Styles Karratha
526,Katsuura,JP,73.69,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
527,Kamiiso,JP,69.8,light rain,41.8167,140.65,Business Inn Abe
533,Halifax,CA,74.7,scattered clouds,44.6453,-63.5724,Hotel Halifax
536,Idah,NG,73.83,broken clouds,7.1065,6.7342,Ubiga Hotel Idah
543,Mattru,SL,74.28,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
546,Channel-Port Aux Basques,CA,61.41,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
550,Orocue,CO,73.11,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
554,Cap-Aux-Meules,CA,62.06,overcast clouds,47.3821,-61.8597,Auberge Madeli
557,Sept-Iles,CA,64.06,overcast clouds,50.2001,-66.3821,Comfort Inn
559,Milyutinskaya,RU,71.58,clear sky,48.6279,41.6679,
560,Smithers,CA,61.12,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
566,Sinop,TR,62.08,broken clouds,41.7711,34.8709,
576,Faya,SA,66.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
578,Gorontalo,ID,74.46,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
581,Maroantsetra,MG,67.78,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
585,Kyshtovka,RU,61.12,clear sky,56.555,76.6271,Uyutnaya Mini-Hotel
587,Punalur,IN,74.28,overcast clouds,9.0,76.9333,Motel Araam
588,Lagos,NG,74.82,light rain,6.5833,3.75,
589,Ambulu,ID,74.41,few clouds,-8.345,113.6058,Hotel Ambulu Jember
592,Tolaga Bay,NZ,60.1,moderate rain,-38.3667,178.3,Tolaga Bay Motel
593,Hovd,MN,63.45,clear sky,48.0056,91.6419,Hotel Khovd
599,Kpandu,GH,74.97,broken clouds,6.9954,0.2931,Emo House
604,Kuandian,CN,68.07,overcast clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
607,Atbasar,KZ,69.49,light rain,51.8,68.3333,Гостиничный Комплекс Saad
608,Diego De Almagro,CL,61.56,clear sky,-26.3667,-70.05,hotel luna del desierto
609,Caluquembe,AO,61.23,clear sky,-13.7833,14.6833,Hotel Kalukembe
