,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Taoudenni,ML,22.6783,-3.9836,104.32,7,0,14.94,clear sky
79,Severo-Kurilsk,RU,50.6789,156.125,56.66,90,50,6.78,scattered clouds
80,Yellowknife,CA,62.456,-114.3525,70.32,64,75,12.66,broken clouds
81,Mataura,NZ,-46.1927,168.8643,40.48,86,100,11.14,overcast clouds
82,Tiksi,RU,71.6872,128.8694,36.19,91,100,16.71,light rain
83,Sovetskaya,RU,44.7769,41.1722,65.68,80,22,4.97,few clouds
84,Bansang,GM,13.4333,-14.65,89.19,60,16,5.53,few clouds
85,Pevek,RU,69.7008,170.3133,44.82,61,42,8.93,scattered clouds
86,Shubarkuduk,KZ,49.1447,56.4872,77.97,42,0,11.21,clear sky
87,Victor Harbor,AU,-35.5667,138.6167,45.68,78,94,8.52,overcast clouds
88,Hambantota,LK,6.1241,81.1185,79.14,83,40,3.44,scattered clouds
89,Freeport,US,40.6576,-73.5832,86.47,52,0,16.11,clear sky
90,Huanren,CN,41.2647,125.3667,66.76,91,100,0.67,overcast clouds
91,Avarua,CK,-21.2078,-159.775,75.25,73,40,4.61,scattered clouds
92,Punta Arenas,CL,-53.15,-70.9167,26.11,79,100,14.07,overcast clouds
93,Dudinka,RU,69.4058,86.1778,45.43,58,100,14.52,overcast clouds
94,Pangnirtung,CA,66.1451,-65.7125,57.81,52,100,3.33,overcast clouds
95,Tocopilla,CL,-22.092,-70.1979,66.11,60,97,12.24,overcast clouds
96,Amapa,BR,1.0,-52.0,81.57,82,96,3.0,overcast clouds
97,Riyadh,SA,24.6877,46.7219,95.59,9,100,9.48,overcast clouds
98,Kuytun,RU,54.3419,101.5036,59.29,64,100,6.2,overcast clouds
99,Ixtapa,MX,20.7,-105.2,90.23,61,84,3.0,broken clouds
100,Port Alfred,ZA,-33.5906,26.891,58.5,79,0,10.2,clear sky
101,Muroto,JP,33.2833,134.15,78.48,89,9,6.04,clear sky
102,Hamilton,US,39.1834,-84.5333,91.26,53,4,4.0,clear sky
103,Geraldton,AU,-28.7667,114.6,45.01,87,0,9.22,clear sky
104,Dikson,RU,73.5069,80.5464,37.54,89,98,9.57,overcast clouds
105,Omboue,GA,-1.5746,9.2618,70.75,81,46,7.76,scattered clouds
106,Daru,PG,-9.0763,143.2092,77.04,87,72,15.97,broken clouds
107,Upernavik,GL,72.7868,-56.1549,38.82,87,92,5.68,overcast clouds
108,Carballo,ES,43.213,-8.691,71.78,75,1,2.89,clear sky
109,Liberal,US,37.0431,-100.921,100.54,27,0,20.71,clear sky
110,Atuona,PF,-9.8,-139.0333,77.74,74,44,16.26,scattered clouds
111,Coruripe,BR,-10.1256,-36.1756,77.29,78,79,7.05,broken clouds
112,Esperance,AU,-33.8667,121.9,50.25,85,0,10.63,clear sky
113,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,57,20,10.02,few clouds
114,Chokurdakh,RU,70.6333,147.9167,59.86,66,100,4.14,light rain
115,Houlton,US,46.1262,-67.8403,81.01,49,0,13.8,clear sky
116,Esmeraldas,BR,-19.7625,-44.3139,77.58,30,100,8.32,overcast clouds
117,Pangai,TO,-19.8,-174.35,77.11,77,100,20.65,overcast clouds
118,Port Blair,IN,11.6667,92.75,81.64,83,100,20.38,heavy intensity rain
119,Grindavik,IS,63.8424,-22.4338,54.07,82,75,16.11,broken clouds
120,Truckee,US,39.328,-120.1833,88.63,25,0,5.75,clear sky
121,Mar Del Plata,AR,-38.0023,-57.5575,49.08,75,100,18.01,overcast clouds
122,Nizhniy Ufaley,RU,55.9153,59.9842,63.16,95,100,3.8,light rain
123,Lompoc,US,34.6391,-120.4579,87.69,70,0,10.36,clear sky
124,Qinggang,CN,46.6833,126.0833,68.23,82,6,6.96,clear sky
125,Barrow,US,71.2906,-156.7887,39.22,87,100,16.11,overcast clouds
126,Winton,US,37.3894,-120.6133,99.75,21,0,5.75,clear sky
127,Llanes,ES,43.4198,-4.7549,75.24,74,1,5.57,clear sky
128,Tanah Merah,MY,5.8,102.15,74.61,97,100,1.28,light rain
129,Shuangyang,CN,43.5242,125.6736,66.83,87,100,3.71,overcast clouds
130,Tiarei,PF,-17.5333,-149.3333,77.02,78,28,17.6,light rain
131,Port Hedland,AU,-20.3167,118.5667,53.65,54,5,9.22,clear sky
132,Morant Bay,JM,17.8815,-76.4093,85.6,68,100,12.57,overcast clouds
133,Tondano,ID,1.3038,124.9112,68.09,96,100,3.36,overcast clouds
134,Tessalit,ML,20.1986,1.0114,101.08,14,50,5.08,scattered clouds
135,Berlevag,NO,70.8578,29.0864,53.6,93,75,9.22,fog
136,Fairbanks,US,64.8378,-147.7164,74.57,56,25,1.66,scattered clouds
137,Necochea,AR,-38.5473,-58.7368,46.02,71,100,17.09,overcast clouds
138,Bredasdorp,ZA,-34.5322,20.0403,51.55,75,0,7.63,clear sky
139,Kavieng,PG,-2.5744,150.7967,81.48,80,98,14.27,light rain
140,Kismayo,SO,-0.3582,42.5454,76.21,76,15,16.6,few clouds
141,Lewistown,US,40.5992,-77.5714,89.15,69,20,6.91,few clouds
142,Moshupa,BW,-24.7782,25.4155,55.42,30,0,5.14,clear sky
143,Banda Aceh,ID,5.5577,95.3222,77.61,84,100,15.39,overcast clouds
144,Vac,HU,47.7759,19.1361,68.38,42,56,6.96,broken clouds
145,Lata,PT,40.1629,-8.3327,70.07,49,75,5.88,broken clouds
146,Truro,GB,50.2653,-5.0544,74.48,53,0,11.5,clear sky
147,Mamlyutka,KZ,54.9375,68.5394,67.48,93,100,8.3,overcast clouds
148,Rawson,AR,-43.3002,-65.1023,43.34,46,2,7.54,clear sky
149,Luderitz,NA,-26.6481,15.1594,57.79,67,0,17.63,clear sky
150,Thompson,CA,55.7435,-97.8558,67.44,62,99,4.85,overcast clouds
151,La Roche-Sur-Yon,FR,46.6667,-1.4333,88.07,27,0,11.5,clear sky
152,Broome,US,42.2506,-75.833,88.2,46,40,11.5,scattered clouds
153,Qaanaaq,GL,77.484,-69.3632,43.93,81,23,2.13,few clouds
154,Springbok,ZA,-29.6643,17.8865,46.45,69,0,3.18,clear sky
155,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,67,98,7.11,overcast clouds
156,Ulladulla,AU,-35.35,150.4667,45.55,81,100,4.32,overcast clouds
157,Acarau,BR,-2.8856,-40.12,81.82,68,92,15.99,overcast clouds
158,Koungou,YT,-12.7336,45.2042,73.11,78,0,5.75,clear sky
159,Havre-Saint-Pierre,CA,50.2334,-63.5986,58.89,85,100,8.32,overcast clouds
160,Langenburg,DE,49.2544,9.8458,66.9,61,75,8.05,broken clouds
161,Tadine,NC,-21.55,167.8833,71.65,80,99,12.19,overcast clouds
162,Horsham,GB,51.064,-0.3272,82.72,43,0,5.75,clear sky
163,Tasiilaq,GL,65.6145,-37.6368,53.76,76,100,2.46,overcast clouds
164,Elko,US,41.0002,-115.5012,89.74,16,0,4.0,clear sky
165,Santiago,CL,-33.4569,-70.6483,53.85,61,39,1.39,scattered clouds
166,Leh,IN,34.1667,77.5833,66.33,46,24,6.04,few clouds
167,Piacabucu,BR,-10.4056,-36.4344,77.61,76,78,6.78,broken clouds
168,Guia,ES,28.1397,-15.6329,79.97,76,18,14.85,few clouds
169,Nsanje,MW,-16.92,35.262,70.59,62,99,2.53,overcast clouds
170,Arroyo,ES,41.6096,-4.7969,95.04,14,40,5.75,scattered clouds
171,Kalakamati,BW,-20.5929,27.3121,58.23,38,6,5.5,clear sky
172,Avera,US,33.194,-82.5271,80.11,61,100,8.46,overcast clouds
173,Tingo Maria,PE,-9.2895,-76.0088,89.29,40,9,2.73,clear sky
174,Souillac,MU,-20.5167,57.5167,70.65,76,27,19.98,light rain
175,Methala,IN,10.2166,76.2166,77.0,95,100,4.27,overcast clouds
176,Umm Kaddadah,SD,13.6017,26.6876,84.51,50,100,8.43,light rain
177,Kununurra,AU,-15.7667,128.7333,46.38,87,5,1.14,clear sky
178,Darhan,MN,49.4867,105.9228,55.71,89,100,2.04,overcast clouds
179,Vardo,NO,70.3705,31.1107,49.98,93,75,2.3,broken clouds
180,Mahebourg,MU,-20.4081,57.7,71.26,73,28,22.3,light rain
181,Srednekolymsk,RU,67.45,153.6833,74.79,55,100,9.22,overcast clouds
182,Yacuiba,BO,-22.038,-63.6797,67.75,43,100,13.27,overcast clouds
183,Owando,CG,-0.4819,15.8999,82.13,48,86,1.86,overcast clouds
184,Rio Brilhante,BR,-21.8019,-54.5464,92.28,22,31,16.91,scattered clouds
185,Tefe,BR,-3.3542,-64.7114,90.54,50,99,2.77,overcast clouds
186,Calais,FR,50.9167,1.8333,78.82,63,100,10.27,overcast clouds
187,Adrar,MR,20.5022,-10.0711,105.94,7,21,7.25,few clouds
188,Cherskiy,RU,68.75,161.3,63.88,41,99,6.33,overcast clouds
189,San Isidro,PE,-12.1167,-77.05,66.02,76,100,6.91,overcast clouds
190,Marrakesh,MA,31.6315,-8.0083,102.27,18,75,13.8,broken clouds
191,Tiznit,MA,29.5833,-9.5,86.2,24,51,6.64,broken clouds
192,Aklavik,CA,68.2191,-135.0107,70.66,54,100,6.67,light rain
193,Mazara Del Vallo,IT,37.6641,12.588,78.55,76,0,10.85,clear sky
194,Seminole,US,28.7086,-81.2081,93.27,74,40,10.36,light rain
195,Tabou,CI,4.423,-7.3528,76.01,78,100,10.54,overcast clouds
196,Parabel,RU,58.6978,81.4825,60.42,71,44,5.39,scattered clouds
197,Nisia Floresta,BR,-6.0911,-35.2086,77.81,84,84,11.56,broken clouds
198,Ust-Kulom,RU,61.6864,53.6902,67.5,77,39,2.64,scattered clouds
199,Meulaboh,ID,4.1363,96.1285,76.32,86,100,7.52,moderate rain
200,Saldanha,ZA,-33.0117,17.9442,56.12,78,100,9.1,overcast clouds
201,Bambous Virieux,MU,-20.3428,57.7575,71.22,73,34,22.15,light rain
202,Meadow Lake,US,34.8014,-106.5436,94.21,26,15,7.92,few clouds
203,Kamaishi,JP,39.2667,141.8833,71.89,97,100,3.8,overcast clouds
204,Jalu,LY,29.0331,21.5482,86.54,23,0,10.71,clear sky
205,Peabiru,BR,-23.9128,-52.3431,80.24,43,100,10.67,overcast clouds
206,Saskylakh,RU,71.9167,114.0833,41.22,77,100,17.16,light rain
207,Mangan,IN,27.5167,88.5333,76.19,94,99,1.14,overcast clouds
